register_date,total_transaction,user_id,total_amount
29/12/21 06.38,4,1,2240000
30/12/21 13.44,3,2,641000
30/12/21 17.38,3,3,500000
31/12/21 11.00,4,4,1760000
30/12/21 15.47,3,5,618000
31/12/21 14.55,3,6,823000
31/12/21 16.23,1,7,73000
29/12/21 20.14,3,8,654000
31/12/21 17.10,3,9,524000
31/12/21 13.38,4,10,1902000
31/12/21 21.52,2,11,143000
31/12/21 13.34,3,12,1003000
31/12/21 11.15,4,13,1591000
31/12/21 03.09,3,14,599000
01/01/22 01.31,3,15,589000
31/12/21 12.28,2,16,91000
30/12/21 18.50,3,17,779000
01/01/22 02.10,3,18,457000
31/12/21 17.32,3,19,346000
30/12/21 14.31,2,20,83000
30/12/21 21.38,3,21,396000
31/12/21 00.25,1,22,62000
31/12/21 17.53,4,23,1999000
30/12/21 09.05,3,24,641000
01/01/22 04.03,3,25,422000
01/01/22 11.32,2,26,187000
30/12/21 04.52,4,27,1264000
01/01/22 07.38,3,28,764000
30/12/21 21.48,3,29,738000
01/01/22 00.04,3,30,626000
31/12/21 21.50,2,31,86000
31/12/21 19.35,2,32,244000
31/12/21 05.45,3,33,722000
30/12/21 08.07,2,34,210000
01/01/22 03.59,3,35,829000
31/12/21 00.17,5,36,1920000
30/12/21 05.13,4,37,2056000
01/01/22 13.15,1,38,58000
30/12/21 10.12,4,39,645000
31/12/21 03.10,3,40,861000
01/01/22 03.28,1,41,105000
01/01/22 07.52,5,42,1840000
31/12/21 21.57,1,43,80000
31/12/21 13.57,2,44,158000
31/12/21 20.26,4,45,2146000
01/01/22 15.41,3,46,450000
01/01/22 01.39,3,47,347000
31/12/21 23.19,3,48,239000
01/01/22 12.06,3,49,502000
31/12/21 19.59,1,50,113000
01/01/22 10.27,3,51,767000
31/12/21 18.59,3,52,419000
31/12/21 09.28,3,53,206000
31/12/21 22.31,4,54,1079000
31/12/21 18.10,2,55,158000
31/12/21 22.21,1,56,63000
01/01/22 03.52,4,57,1827000
31/12/21 22.40,3,58,724000
31/12/21 19.08,3,59,600000
01/01/22 06.45,2,60,129000
30/12/21 06.28,2,61,162000
01/01/22 05.29,3,62,462000
01/01/22 05.42,2,63,196000
31/12/21 16.53,3,64,584000
31/12/21 16.25,1,65,84000
01/01/22 08.38,4,66,1478000
01/01/22 06.35,3,67,532000
30/12/21 20.46,3,68,613000
31/12/21 22.44,3,69,425000
31/12/21 10.26,4,70,1771000
30/12/21 02.12,3,71,496000
01/01/22 02.30,4,72,2156000
31/12/21 04.10,4,73,1425000
30/12/21 10.47,3,74,546000
01/01/22 15.39,3,75,964000
31/12/21 08.26,3,76,1037000
31/12/21 17.52,3,77,683000
02/01/22 02.09,2,78,134000
01/01/22 17.03,3,79,739000
01/01/22 09.06,3,80,344000
30/12/21 20.51,3,81,495000
31/12/21 02.50,3,82,419000
31/12/21 11.00,1,83,92000
01/01/22 10.41,1,84,78000
31/12/21 22.42,3,85,178000
02/01/22 01.59,3,86,537000
01/01/22 13.27,3,87,534000
02/01/22 02.24,3,88,404000
30/12/21 15.18,4,89,1386000
31/12/21 23.09,1,90,46000
02/01/22 07.25,2,91,173000
31/12/21 06.43,3,92,356000
01/01/22 10.26,1,93,18000
31/12/21 20.36,2,94,196000
01/01/22 23.22,3,95,547000
01/01/22 16.46,3,96,352000
30/12/21 16.32,2,97,150000
02/01/22 03.13,3,98,688000
02/01/22 06.40,3,99,545000
31/12/21 18.55,5,100,2542000
01/01/22 22.36,4,101,2295000
31/12/21 00.21,2,102,149000
31/12/21 03.37,3,103,652000
31/12/21 22.23,3,104,430000
01/01/22 20.48,5,105,2212000
31/12/21 13.22,1,106,97000
31/12/21 18.54,3,107,314000
01/01/22 11.02,5,108,2357000
01/01/22 08.06,5,109,2798000
02/01/22 11.49,2,110,143000
30/12/21 18.12,3,111,647000
31/12/21 03.41,2,112,124000
30/12/21 15.47,3,113,488000
31/12/21 02.11,4,114,2095000
01/01/22 21.25,5,115,2044000
02/01/22 00.21,3,116,334000
30/12/21 18.50,3,117,734000
30/12/21 16.19,2,118,127000
02/01/22 12.30,3,119,524000
02/01/22 14.33,3,120,366000
31/12/21 20.15,3,121,704000
02/01/22 15.22,2,122,303000
01/01/22 08.50,3,123,622000
02/01/22 10.19,3,124,363000
01/01/22 23.55,2,125,89000
01/01/22 07.42,3,126,482000
30/12/21 17.32,5,127,2351000
01/01/22 06.44,3,128,465000
02/01/22 15.54,3,129,457000
31/12/21 03.57,2,130,129000
02/01/22 10.16,4,131,1644000
02/01/22 07.35,5,132,1926000
31/12/21 00.49,3,133,847000
02/01/22 00.52,3,134,283000
02/01/22 02.12,3,135,755000
01/01/22 02.57,3,136,314000
01/01/22 05.59,3,137,773000
01/01/22 22.33,3,138,481000
01/01/22 00.09,2,139,190000
31/12/21 23.27,3,140,410000
02/01/22 03.54,1,141,78000
02/01/22 15.40,3,142,308000
30/12/21 21.27,3,143,463000
01/01/22 04.04,4,144,1971000
01/01/22 12.05,3,145,378000
31/12/21 18.05,3,146,828000
02/01/22 14.36,3,147,844000
02/01/22 07.30,3,148,361000
31/12/21 06.34,3,149,715000
02/01/22 07.21,3,150,593000
01/01/22 01.31,5,151,2619000
02/01/22 01.31,3,152,721000
02/01/22 21.42,3,153,819000
02/01/22 18.11,3,154,574000
31/12/21 17.39,2,155,141000
01/01/22 08.34,3,156,592000
02/01/22 17.15,1,157,52000
03/01/22 01.44,3,158,743000
01/01/22 00.50,5,159,1918000
02/01/22 16.41,4,160,1592000
01/01/22 01.21,2,161,125000
01/01/22 22.45,4,162,1457000
02/01/22 01.47,1,163,43000
01/01/22 12.00,4,164,2057000
02/01/22 11.53,3,165,571000
02/01/22 05.31,3,166,641000
02/01/22 18.47,4,167,689000
02/01/22 22.18,4,168,1618000
02/01/22 13.52,1,169,158000
02/01/22 01.32,4,170,1153000
01/01/22 03.55,4,171,1836000
03/01/22 00.58,4,172,1588000
31/12/21 23.57,2,173,102000
02/01/22 04.24,3,174,502000
02/01/22 21.22,4,175,1411000
03/01/22 01.46,3,176,384000
02/01/22 14.23,1,177,51000
02/01/22 08.10,1,178,29000
02/01/22 09.18,2,179,100000
02/01/22 16.23,5,180,2167000
31/12/21 17.00,3,181,358000
