transaction_id,session_id,paid_time,complete,user_id,payment_method,total_amount
10,20,01/01/22 05.02,0,1,1,480000
16,38,01/01/22 07.21,1,9,1,116000
18,47,01/01/22 07.58,1,11,1,38000
27,78,01/01/22 10.40,1,20,1,53000
32,91,01/01/22 11.47,1,25,1,68000
36,107,01/01/22 12.54,1,29,1,200000
37,109,01/01/22 13.04,1,31,1,60000
39,120,01/01/22 13.52,1,32,1,125000
44,138,01/01/22 15.09,1,39,1,22000
45,137,01/01/22 15.10,1,38,1,58000
47,139,01/01/22 15.15,1,40,1,305000
48,140,01/01/22 15.20,1,41,1,105000
51,149,01/01/22 16.13,1,44,1,115000
54,158,01/01/22 17.25,1,47,1,42000
57,171,01/01/22 18.38,1,51,1,225000
60,181,01/01/22 19.23,1,53,1,66000
61,182,01/01/22 19.28,1,54,1,297000
63,187,01/01/22 19.49,1,56,1,63000
68,193,01/01/22 20.10,1,60,1,53000
72,205,01/01/22 21.24,1,63,1,113000
73,212,01/01/22 21.54,1,65,1,84000
76,218,01/01/22 22.24,1,68,1,98000
78,220,01/01/22 23.07,0,31,1,30000
79,224,02/01/22 01.15,1,70,1,265000
81,226,02/01/22 01.42,1,72,1,398000
87,242,02/01/22 05.31,1,78,1,54000
88,252,02/01/22 06.26,1,79,1,413000
89,256,02/01/22 06.33,1,80,1,70000
91,259,02/01/22 06.51,1,81,1,126000
92,261,02/01/22 07.02,1,83,1,92000
97,282,02/01/22 09.28,1,88,1,24000
99,288,02/01/22 10.07,1,90,1,46000
101,296,02/01/22 10.25,1,92,1,244000
103,300,02/01/22 10.34,1,94,1,101000
106,304,02/01/22 10.51,1,96,1,144000
112,317,02/01/22 11.39,1,101,1,1130000
113,318,02/01/22 11.42,1,102,1,26000
118,333,02/01/22 12.32,1,108,1,582000
121,341,02/01/22 13.16,1,110,1,95000
123,345,02/01/22 13.40,1,45,1,372000
126,354,02/01/22 14.07,1,114,1,792000
128,359,02/01/22 14.32,1,116,1,70000
131,367,02/01/22 15.10,1,119,1,67000
132,368,02/01/22 15.17,1,120,1,24000
134,371,02/01/22 15.39,1,122,1,170000
136,374,02/01/22 15.55,1,124,1,85000
138,383,02/01/22 16.32,1,126,1,64000
145,400,02/01/22 17.55,0,78,1,75000
154,425,02/01/22 19.12,1,140,1,167000
156,431,02/01/22 19.44,1,141,1,78000
158,433,02/01/22 19.53,1,143,1,76000
166,453,02/01/22 21.23,1,150,1,165000
170,461,02/01/22 21.54,1,153,1,351000
173,467,02/01/22 22.44,1,156,1,196000
174,469,02/01/22 22.53,1,157,1,52000
178,488,03/01/22 06.12,1,161,1,83000
182,491,03/01/22 06.20,1,163,1,43000
185,497,03/01/22 06.43,1,167,1,143000
186,500,03/01/22 06.45,1,170,1,327000
188,499,03/01/22 06.45,1,169,1,158000
190,512,03/01/22 07.18,1,172,1,453000
193,516,03/01/22 07.37,1,173,1,49000
194,523,03/01/22 07.49,0,125,1,52000
197,533,03/01/22 08.51,1,178,1,29000
203,550,03/01/22 11.36,0,78,1,195000
211,577,03/01/22 14.10,0,132,1,849000
212,579,03/01/22 14.41,1,190,1,98000
221,602,03/01/22 18.19,1,199,1,40000
222,608,03/01/22 18.50,0,54,1,432000
227,626,03/01/22 20.05,1,204,1,160000
230,629,03/01/22 20.27,1,206,1,28000
231,633,03/01/22 20.34,1,208,1,255000
232,643,03/01/22 21.35,1,209,1,256000
233,653,03/01/22 22.21,0,203,1,123000
234,655,03/01/22 22.43,1,210,1,75000
238,661,04/01/22 02.14,1,214,1,125000
239,663,04/01/22 02.17,1,215,1,250000
244,671,04/01/22 05.57,1,219,1,434000
248,681,04/01/22 06.53,1,223,1,44000
249,682,04/01/22 06.58,1,224,1,49000
250,684,04/01/22 07.53,1,225,1,151000
263,717,04/01/22 13.45,1,237,1,101000
268,723,04/01/22 14.46,1,241,1,83000
269,726,04/01/22 15.36,1,242,1,83000
273,732,04/01/22 17.14,1,245,1,86000
277,742,04/01/22 19.06,1,249,1,551000
280,754,04/01/22 20.43,1,252,1,120000
288,788,05/01/22 05.50,1,258,1,450000
289,791,05/01/22 06.33,1,259,1,419000
292,797,05/01/22 07.16,1,262,1,125000
293,800,05/01/22 07.30,1,263,1,271000
294,803,05/01/22 07.36,1,264,1,135000
298,815,05/01/22 10.49,1,268,1,54000
301,833,05/01/22 14.45,1,271,1,470000
302,838,05/01/22 15.32,1,272,1,22000
305,845,05/01/22 17.10,1,275,1,162000
306,847,05/01/22 17.53,1,276,1,64000
307,852,05/01/22 18.42,1,277,1,270000
308,855,05/01/22 18.49,1,278,1,123000
309,860,05/01/22 19.24,1,280,1,55000
312,863,05/01/22 19.41,1,282,1,16000
314,866,05/01/22 19.53,1,283,1,155000
316,868,05/01/22 20.07,1,285,1,83000
317,870,05/01/22 20.23,1,286,1,85000
318,871,05/01/22 20.38,1,287,1,148000
323,886,06/01/22 01.58,1,292,1,77000
327,893,06/01/22 05.42,0,159,1,325000
331,912,06/01/22 07.40,0,35,1,160000
334,919,06/01/22 08.20,1,301,1,432000
335,924,06/01/22 09.35,1,302,1,90000
336,925,06/01/22 09.47,1,303,1,74000
337,927,06/01/22 10.31,1,304,1,164000
338,928,06/01/22 10.49,1,305,1,256000
341,938,06/01/22 12.13,1,308,1,124000
344,950,06/01/22 15.30,1,311,1,97000
345,951,06/01/22 16.07,1,312,1,40000
347,956,06/01/22 17.13,1,314,1,345000
351,974,06/01/22 20.05,1,318,1,135000
353,980,06/01/22 20.37,1,320,1,44000
354,983,06/01/22 20.57,1,321,1,80000
363,1006,07/01/22 06.05,1,330,1,102000
367,1016,07/01/22 07.29,1,334,1,120000
368,1022,07/01/22 09.21,1,335,1,42000
370,1025,07/01/22 10.44,1,337,1,70000
371,1026,07/01/22 11.08,1,338,1,119000
372,1032,07/01/22 12.40,1,339,1,235000
378,1045,07/01/22 15.08,1,343,1,60000
380,1052,07/01/22 17.36,0,210,1,29000
382,1055,07/01/22 18.14,1,346,1,196000
383,1059,07/01/22 18.23,1,348,1,131000
384,1058,07/01/22 18.24,1,347,1,20000
385,1060,07/01/22 18.27,1,349,1,67000
389,1070,07/01/22 19.26,1,353,1,233000
395,1096,07/01/22 22.11,1,359,1,174000
396,1098,07/01/22 22.18,1,360,1,226000
399,1108,08/01/22 04.47,1,363,1,52000
401,1111,08/01/22 05.43,1,365,1,191000
402,1112,08/01/22 05.44,1,366,1,85000
403,1114,08/01/22 05.53,1,367,1,51000
404,1118,08/01/22 06.50,1,368,1,104000
405,1123,08/01/22 07.09,1,369,1,125000
406,1125,08/01/22 07.30,1,370,1,100000
408,1128,08/01/22 07.40,1,372,1,81000
410,1130,08/01/22 07.51,1,374,1,95000
416,1149,08/01/22 10.59,1,380,1,128000
418,1152,08/01/22 11.24,1,382,1,74000
420,1153,08/01/22 11.40,0,356,1,266000
422,1158,08/01/22 12.13,1,385,1,113000
423,1161,08/01/22 12.18,1,386,1,453000
427,1175,08/01/22 13.04,1,390,1,90000
430,1191,08/01/22 13.59,1,393,1,90000
432,1193,08/01/22 14.06,1,395,1,86000
433,1201,08/01/22 14.49,0,177,1,125000
434,1205,08/01/22 16.02,1,396,1,58000
443,1224,08/01/22 18.47,1,405,1,65000
450,1243,08/01/22 21.16,0,72,1,332000
454,1256,09/01/22 01.46,1,415,1,60000
456,1259,09/01/22 02.42,1,417,1,65000
457,1262,09/01/22 05.14,1,418,1,63000
458,1265,09/01/22 05.46,1,419,1,362000
460,1276,09/01/22 07.24,1,421,1,234000
461,1280,09/01/22 07.39,1,422,1,115000
462,1282,09/01/22 07.50,1,423,1,44000
464,1298,09/01/22 10.30,1,425,1,79000
465,1299,09/01/22 10.39,1,426,1,301000
466,1301,09/01/22 10.45,1,428,1,196000
