user_id,region,register_date,age,gender
44,1,31/12/21 13.57,19,M
118,2,30/12/21 16.19,19,F
139,2,01/01/22 00.09,19,F
196,1,03/01/22 16.14,19,F
199,3,02/01/22 04.28,19,F
207,3,03/01/22 10.00,19,F
210,1,03/01/22 02.36,19,F
217,2,04/01/22 01.34,19,F
260,4,03/01/22 07.34,19,F
270,2,05/01/22 06.16,19,F
308,2,05/01/22 04.53,19,F
383,3,07/01/22 04.49,19,M
441,2,07/01/22 21.00,19,F
445,2,08/01/22 19.51,19,M
466,2,09/01/22 13.17,19,F
504,5,11/01/22 04.07,19,M
512,3,10/01/22 05.37,19,M
523,1,10/01/22 18.59,19,M
527,5,10/01/22 15.12,19,M
540,2,12/01/22 15.56,19,M
576,1,14/01/22 02.33,19,F
594,4,14/01/22 07.29,19,F
615,3,14/01/22 00.28,19,M
650,3,16/01/22 04.27,19,M
654,2,15/01/22 00.41,19,M
699,2,17/01/22 01.32,19,M
711,2,16/01/22 13.03,19,M
732,1,18/01/22 12.20,19,M
746,2,18/01/22 21.22,19,F
756,1,19/01/22 16.59,19,M
759,1,18/01/22 03.35,19,M
843,2,20/01/22 20.10,19,F
886,4,22/01/22 22.11,19,F
941,4,23/01/22 07.11,19,M
954,1,23/01/22 16.48,19,M
979,4,23/01/22 13.37,19,M
1020,4,24/01/22 06.37,19,F
1024,2,25/01/22 03.07,19,M
1091,1,25/01/22 01.23,19,F
1100,5,27/01/22 01.39,19,M
1125,1,27/01/22 07.14,19,F
1167,4,27/01/22 03.45,19,M
1169,2,26/01/22 09.51,19,M
1175,2,28/01/22 06.03,19,M
1179,2,25/01/22 14.54,19,F
1189,2,27/01/22 02.32,19,F
1255,2,27/01/22 21.14,19,F
1288,5,28/01/22 12.43,19,F
1350,2,27/01/22 23.22,19,F
1351,4,28/01/22 11.18,19,M
1381,2,29/01/22 22.38,19,F
1396,2,30/01/22 07.00,19,F
1410,3,31/01/22 03.54,19,F
1423,2,31/01/22 03.29,19,F
1441,4,29/01/22 00.59,19,M
1445,1,29/01/22 00.24,19,M
1555,2,01/02/22 02.30,19,F
1583,3,31/01/22 11.31,19,F
1609,2,31/01/22 20.48,19,M
1624,1,02/02/22 04.18,19,F
1644,4,02/02/22 15.06,19,M
1651,2,02/02/22 21.45,19,F
1652,2,01/02/22 23.27,19,F
1655,1,01/02/22 00.09,19,M
1659,2,02/02/22 15.17,19,M
1662,2,31/01/22 17.34,19,F
1675,3,02/02/22 13.31,19,F
1677,4,01/02/22 22.01,19,F
1686,2,02/02/22 21.16,19,M
1688,1,03/02/22 03.35,19,F
1734,2,01/02/22 19.58,19,M
1751,3,02/02/22 17.05,19,F
1766,3,04/02/22 12.35,19,F
1774,2,02/02/22 16.48,19,F
1781,2,03/02/22 18.20,19,F
1788,1,04/02/22 23.55,19,M
1808,2,05/02/22 11.56,19,M
1832,2,03/02/22 05.00,19,F
1847,2,03/02/22 20.38,19,M
1924,1,06/02/22 13.21,19,M
1963,2,06/02/22 03.03,19,F
2024,2,08/02/22 22.03,19,M
2044,3,07/02/22 05.52,19,M
2054,2,08/02/22 13.00,19,F
2058,2,08/02/22 10.28,19,F
2065,4,07/02/22 15.19,19,F
2097,2,10/02/22 02.28,19,F
2126,3,11/02/22 17.10,19,M
2141,2,12/02/22 02.51,19,F
2168,2,13/02/22 10.26,19,F
2192,2,13/02/22 05.10,19,F
2198,3,13/02/22 11.11,19,F
2219,2,13/02/22 10.31,19,F
2271,1,16/02/22 02.10,19,F
2374,4,17/02/22 21.32,19,F
2384,1,18/02/22 11.32,19,F
2411,5,17/02/22 17.19,19,F
2433,2,19/02/22 11.51,19,F
2448,5,20/02/22 01.15,19,F
2460,4,21/02/22 08.30,19,M
2467,2,20/02/22 10.45,19,M
2469,1,21/02/22 14.14,19,M
2480,1,21/02/22 16.41,19,F
2486,5,21/02/22 15.36,19,F
2491,2,21/02/22 21.24,19,M
2505,2,20/02/22 21.55,19,M
2513,4,22/02/22 01.47,19,M
2536,2,22/02/22 11.41,19,M
2540,2,23/02/22 10.03,19,F
2554,1,24/02/22 02.02,19,F
2579,1,23/02/22 21.43,19,M
2635,3,24/02/22 00.06,19,F
2647,4,23/02/22 05.15,19,F
2652,2,23/02/22 11.13,19,M
2702,1,24/02/22 06.34,19,F
2737,1,26/02/22 01.55,19,M
2758,2,26/02/22 13.41,19,M
2816,2,27/02/22 03.11,19,F
2841,2,26/02/22 09.58,19,M
2886,2,28/02/22 01.44,19,F
2887,3,27/02/22 00.43,19,M
2922,5,25/02/22 23.28,19,F
2949,1,27/02/22 21.03,19,M
2968,2,28/02/22 20.28,19,F
